Pt_Ampl1,Pt_Ampl2,Pt_Ampl3,Pt_Ampl4,Pt_Ampl5,Pt_Ampl6,Pt_Ampl7,Pt_Ampl8,Pt_Ampl9,Pt_Ampl10,Pt_Ampl11,Pt_Ampl12,Pt_Ampl13,Pt_Ampl14,Pt_Ampl15,Pt_Ampl16,Pt_Ampl17,Pt_Ampl18,Pt_Ampl19,Pt_Ampl20,Pt_Ampl21,Pt_Ampl22,Pt_Ampl23,Pt_Ampl24,Pt_Ampl25,Pt_Ampl26,Pt_Ampl27,Pt_Ampl28,Pt_Ampl29,Pt_Ampl30,Pt_Ampl31,Pt_Ampl32,Pt_Ampl33,Pt_Ampl34,Pt_Ampl35,Pt_Ampl36,Pt_Ampl37,Pt_Ampl38,Pt_Ampl39,Pt_Ampl40,Pt_Ampl41,Pt_Ampl42,Pt_Ampl43,Pt_Ampl44,Pt_Ampl45,Pt_Ampl46,Pt_Ampl47,Pt_Ampl48,Pt_Ampl49,Pt_Ampl50,Pt_phase1,Pt_phase2,Pt_phase3,Pt_phase4,Pt_phase5,Pt_phase6,Pt_phase7,Pt_phase8,Pt_phase9,Pt_phase10,Pt_phase11,Pt_phase12,Pt_phase13,Pt_phase14,Pt_phase15,Pt_phase16,Pt_phase17,Pt_phase18,Pt_phase19,Pt_phase20,Pt_phase21,Pt_phase22,Pt_phase23,Pt_phase24,Pt_phase25,Pt_phase26,Pt_phase27,Pt_phase28,Pt_phase29,Pt_phase30,Pt_phase31,Pt_phase32,Pt_phase33,Pt_phase34,Pt_phase35,Pt_phase36,Pt_phase37,Pt_phase38,Pt_phase39,Pt_phase40,Pt_phase41,Pt_phase42,Pt_phase43,Pt_phase44,Pt_phase45,Pt_phase46,Pt_phase47,Pt_phase48,Pt_phase49,Pt_phase50,l($\mu m$),$D_{T}(10^{-5} m^{2}/s$),$\alpha(K^{-1})$
-22.024122122054898,-87.3792981750195,-95.5685206233465,-100.757633214585,-104.678299548379,-107.886117595982,-110.634945130923,-113.062560821459,-115.25211449088499,-117.25754205449199,-119.11568706556601,-120.852708002693,-122.487739070758,-124.035112999032,-125.50577830907301,-126.908239879351,-128.249204182711,-129.534034287081,-130.767078110124,-131.951909699809,-133.091509261644,-134.188399048696,-135.244746806714,-136.26244495968,-137.243171400801,-138.188436185259,-139.0996173376,-139.977988221244,-140.824738363562,-141.640989218291,-142.427806032821,-143.18620674193198,-143.917168612994,-144.621633208306,-145.300510100252,-145.954679669119,-146.584995228116,-147.19228465254102,-147.777351637836,-148.340976672291,-148.883917782201,-149.406911088505,-149.91067120219,-150.395891479397,-150.863244154576,-151.313380369746,-151.746930118976,-152.164502128577,-152.566683694744,-152.95404050095502,225.754520625294,238.12617021577702,223.88145887162602,213.49136450251598,204.938776126386,197.541941787579,190.972339622058,185.044887209975,179.6438049176,174.691124497833,170.131248710896,165.92256494458098,162.032551645392,158.434770745187,155.106947406409,152.029710024875,149.185748286136,146.559244928433,144.135491445591,141.900629804976,139.841481570991,137.94543795396402,136.20039216848,134.594700746668,133.11716408756502,131.757019121846,130.50393889101102,129.348035301761,128.279862453874,127.290418834864,126.371147376378,125.51393290705799,124.711096936562,123.95538998377701,123.239981836315,122.55845021568399,121.904768341061,121.273291852157,120.65874548510901,120.05620980972701,119.461108244592,118.869194478321,118.27654034803301,117.679524163963,117.07481942434299,116.459383837037,115.83044855243601,115.18550751331199,114.52230683858801,113.838834176063,150.0,8.0,2.15
-22.0226060203257,-87.3908138476956,-95.585297136843,-100.778464799795,-104.70260057243999,-107.913518223785,-110.66518290212099,-113.095436693944,-115.287469748281,-117.29524499601101,-119.155624730832,-120.894780681723,-122.531856468209,-124.08119144071199,-125.553738637145,-126.95800582170901,-128.300701061659,-129.587187980243,-130.82181420637,-132.00815281216998,-133.149182471904,-134.247423466822,-135.305041234048,-136.323925648628,-137.305751906147,-138.252027303645,-139.164127132255,-140.043322128951,-140.890799380295,-141.707678158946,-142.49502185922302,-143.253846951876,-143.985129681615,-144.689811071656,-145.368800669742,-146.022979364526,-146.653201516242,-147.260296578452,-147.845070335881,-148.408305844838,-148.95076413523998,-149.47318471481398,-149.976285904674,-150.460765029333,-150.927298481696,-151.376541683368,-151.809128961514,-152.22567336474899,-152.626766441481,-153.012978004442,225.753080794799,238.04895605533798,223.774182433033,213.362549191781,204.79265284162702,197.381328552786,190.799298351727,184.861030623056,179.450455179221,174.489403041253,169.922131490728,165.706918453568,161.811157340181,158.208342068666,154.876141853389,151.795137751078,148.947978218192,146.318809009391,143.89288745155,141.656323042841,139.595905686777,137.698995028909,135.953452246567,134.347600915726,132.870207222782,131.510472392495,130.2580321264,129.10295930934402,128.03576737997,127.047412655502,126.129294601784,125.273253577636,124.471565980557,123.716936997061,123.00249133286002,122.32176238362601,121.668680324154,121.037559560471,120.423085922688,119.820303891295,119.224604058998,118.631710943874,118.037671194732,117.438842170279,116.83188083183,116.21373286466999,115.58162193410101,114.933038985923,114.265731514514,113.577692741425,150.4,8.0014,2.1508
-22.021090178414397,-87.4023327702608,-95.602077959941,-100.799301391287,-104.726906988511,-107.94092442869301,-110.69542624447901,-113.128317940742,-115.322829984224,-117.332952305641,-119.19556591696698,-120.93685576988199,-122.57597486572399,-124.12726913838101,-125.60169609984501,-127.00776635348998,-128.35218951051598,-129.640329695621,-130.87653419229602,-132.064375038167,-133.206829316498,-134.306415276987,-135.365295989665,-136.385358724809,-137.368275928697,-138.315552094249,-139.22855974049102,-140.10856694811702,-140.95675834333798,-141.774251009778,-142.562106493342,-143.321339818757,-144.052926239781,-144.75780628590599,-145.43688953875602,-146.091057466082,-146.72116555673298,-147.328044933228,-147.912503567299,-148.475327185727,-149.017279926777,-149.53910478948902,-150.041523907023,-150.525238669333,-150.990929718046,-151.439256836185,-151.870858756186,-152.286352910669,-152.686335151133,-153.07137945966298,225.751641514354,237.97171261154202,223.66685400844898,213.233664273983,204.646443124151,197.22061287067402,190.62613941797,184.677041942701,179.256959729458,174.28752310979098,169.712843932279,165.491090703072,161.589571829796,157.981713236485,154.645128190711,151.560350388208,148.709987006467,146.078146733997,143.650052610892,141.411781504815,139.35009145190398,137.452310278357,135.706266819699,134.10025134064,132.622995410231,131.263664095775,130.011855265194,128.857602252569,127.791377280209,126.80409392462799,125.88710761318,125.032213674475,124.231642861518,123.47805454059099,122.764527908616,122.084551685413,121.432012742922,120.801184099332,120.186712639214,119.58360683627701,118.987224666114,118.39326181201099,117.797740194577,117.19699679958,116.58767273967301,115.966702464187,115.331303025016,114.678963312996,114.00743319471701,113.314712501098,150.8,8.0028,2.1516
-22.0195745962237,-87.41385491036681,-95.6188630349324,-100.82014290566,-104.75121868334101,-107.968336063538,-110.72567497255501,-113.16120433350001,-115.35819492253799,-117.370663654168,-119.23551023618,-120.97893281488301,-122.620093740177,-124.173345491271,-125.64965001146099,-127.05752069619899,-128.40366864961,-129.6934584434,-130.93123695842502,-132.120575138605,-133.264448415976,-134.365372948561,-135.42550938053802,-136.446742321462,-137.430741416667,-138.37900830924,-139.292912707939,-140.173720008131,-141.022612357229,-141.840704643247,-142.629056570016,-143.388681736195,-144.120554438487,-144.825614760401,-145.504772378458,-146.158909412799,-146.788882565007,-147.395524719664,-147.97964613545602,-148.54203531404,-149.08345960838002,-149.604665614595,-150.106379380644,-150.58930645941498,-151.05413183154,-151.501519722945,-151.932113342834,-152.34653456862802,-152.74538360469901,-153.12923864142098,225.750202787099,237.894439950475,223.559473580423,213.104709628275,204.500146731323,197.05979436253298,190.452862295466,184.492920488455,179.063317725583,174.08548369232102,169.503384850638,165.275080329428,161.367793566996,157.754882512808,154.413904488357,151.32534580548798,148.471772311374,145.837255543775,143.406984133547,141.167002153266,139.10403556128298,137.205380105289,135.458831969281,133.85264774590098,132.375523976098,131.016589111955,129.765402688006,128.611957952951,127.54668535264,126.560455148722,125.644578155272,124.790804110256,123.991317592291,123.238731664845,122.526079597579,121.846805096206,121.194751486503,120.564150263181,119.94960934743,119.346101313204,118.748951754577,118.153827884412,117.556727384962,116.95396747779499,116.342174145014,115.71827141543999,115.079470626381,114.423259580575,113.747391535643,113.04987398633999,151.2,8.0042,2.1524
-22.018059273656203,-87.42538023578159,-95.6356523041609,-100.84098925943898,-104.7755355434,-107.99575298058399,-110.755928899982,-113.194095642495,-115.39356428514401,-117.40837870986401,-119.275457297452,-121.021011360395,-122.66421256347799,-124.219419892619,-125.697599679138,-127.10726806293002,-128.455137589467,-129.74657322245,-130.985921382323,-132.176751859566,-133.32203837429302,-134.424294932327,-135.485679692981,-136.50807454901198,-137.493146293258,-138.442393673566,-139.357183550819,-140.23877860685602,-141.088358492978,-141.907035896456,-142.695868687124,-143.45586905953502,-144.188010389482,-144.893232364656,-145.572444820041,-146.226530604055,-146.856347717676,-147.462730903085,-148.046492808087,-148.608424815556,-149.149297601096,-149.669861464881,-150.1708464732,-150.65296243973998,-151.11689877438602,-151.56332422704799,-151.992886554501,-152.40621213880502,-152.803905585897,-153.186549332202,225.748764616156,237.81713813792598,223.45204113143902,212.97568513405702,204.353763421198,196.898872650892,190.27946646080798,184.308665582589,178.86952832854598,173.883283782519,169.293753066965,165.05888597648502,161.145821013648,157.527848172648,154.18246882904302,151.090121886884,148.233331810165,145.596132899248,143.163679250634,140.921981973925,138.8577347353,136.958200940174,135.211143806067,133.604785887039,132.127788279102,130.76924235514798,129.518668810482,128.36602026817698,127.30168483273,126.316488873251,125.401698013924,124.54901584196699,123.75058023458999,122.99895747567699,122.287134498178,121.608509667853,120.956882536866,120.326442960047,119.711759899729,119.107770162279,118.509767223279,117.913390218637,117.31461311219299,116.709734000436,116.095364482918,115.46841901211201,114.826104136409,114.165907561707,113.48558697690201,112.78315861312299,151.6,8.0056,2.1532
-22.0165442106146,-87.43690871438841,-95.65244571002009,-100.86184036907,-104.799857454869,-108.023175031528,-110.78618783945801,-113.226991636625,-115.42893779206001,-117.44609713847099,-119.315406706513,-121.063090946012,-122.708330802536,-124.265491729625,-125.745544402826,-127.157007658309,-128.506595430744,-129.799673020247,-131.040586328511,-132.232903932319,-133.379597778694,-134.483179660371,-135.545805192523,-136.56935349495,-137.555488456542,-138.50570588483802,-139.42136975584,-140.303740010541,-141.153993788005,-141.973241571128,-142.762539405609,-143.522898105931,-144.255290165421,-144.960654928595,-145.639902455063,-146.293916400022,-146.923556153088,-147.529658412008,-148.11303831808598,-148.674490243671,-149.21478829651002,-149.734686588962,-150.234919309927,-150.716200632064,-151.17922448467502,-151.624664222292,-152.053172219311,-152.46537942131002,-152.861894883367,-153.243305324561,225.747327004624,237.739807239388,223.344556643927,212.84659067099201,204.20729295253602,196.737847359546,190.10595139254602,184.124276550167,178.67559070309102,173.680922379005,169.083947408696,164.842506295861,160.923652641048,157.300608502276,153.95081930871598,150.85467653169,147.994663197636,145.354776280772,142.920135215431,140.676717977004,138.611185721101,136.71076924242598,134.963198471817,133.35666155248302,131.87978371258998,130.52161877567698,129.271648085942,128.11978309508,127.056368996712,126.072187686441,125.15845902043002,124.306839875745,123.509420904514,122.75872114062,122.04768078047199,121.36965253710501,120.718391978193,120.088047222211,119.473148300231,118.86859640899799,118.26965319661899,117.671930145091,117.071378050225,116.46427655308999,115.847223648613,115.217125085622,114.57118357576701,113.90688774323401,113.222000769188,112.5145487109,152.0,8.007,2.154
-22.0150294070019,-87.44844031418529,-95.66924319495291,-100.882696150915,-104.82418430363899,-108.05060206749,-110.81645160274401,-113.25989208340401,-115.46431516137699,-117.48381860317801,-119.35535806581998,-121.105171107235,-122.75244791923099,-124.311560383409,-125.793483475238,-127.206738678437,-128.55804126416402,-129.852756812798,-131.095230648381,-132.28903007321898,-133.43712519961701,-134.542025545967,-135.605884123795,-136.630577223711,-137.617765779342,-138.56894261322202,-139.485468780102,-140.368601453747,-141.2195152461,-142.039318433598,-142.829065249527,-143.589765154455,-144.322389800044,-145.027878242816,-145.7071408358,-146.361062122134,-146.990502971909,-147.59630213884898,-148.179277364342,-148.740226120365,-149.279926057843,-149.79913521057,-150.29859199502198,-150.779015041269,-151.241102888055,-151.685533574683,-152.11296416244102,-152.52403021830798,-152.91934529296802,-153.299500423609,225.74588995558702,237.66244732006,223.23702010025602,212.717426119003,204.06073508481398,196.576718113581,189.932316571232,183.93975271912103,178.481504017854,173.478398485494,168.873966709732,164.625939947195,160.701286930252,157.073161799626,153.718954037051,150.61900765514298,147.75576418684602,145.113183189382,142.676349304362,140.43120719834,138.364385293901,136.463081501898,134.714992140985,133.108270565473,131.63150570668898,130.273713362476,129.024335008091,127.873240372678,126.810731165008,125.82754422314501,124.914853055892,124.064267271852,123.267829778218,122.51801189533998,121.807706693515,121.130220934034,120.47926600645799,119.848948217093,119.233758717104,118.628563278007,118.028592040009,117.42942928424401,116.827003219613,116.217575732127,115.597732019895,114.964370029134,114.31468961303999,113.64618135252701,112.956615002029,112.244027551086,152.4,8.0084,2.1548
-22.0135148627212,-87.4599750032843,-95.68604470144992,-100.903556521257,-104.84851597531299,-108.07803393901101,-110.84672000065399,-113.292796748948,-115.499696109254,-117.521542764614,-119.395310974537,-121.147251375437,-122.796563370379,-124.357625228976,-125.84141618179501,-127.25646031083001,-128.609474170448,-129.905823564564,-131.149853180112,-132.345128983617,-133.494619190593,-134.600830983475,-135.665914710418,-136.691743776567,-137.679976109128,-138.632101501338,-139.54947805101102,-140.433360139283,-141.284919837388,-142.105263214827,-142.895442706105,-143.65646644622,-144.389305288383,-145.094898058882,-145.774155475638,-146.427963053589,-147.057183237747,-147.662656940671,-148.245204612618,-148.80562693722402,-149.344705221117,-149.863201529851,-150.361858613083,-150.84139965694598,-151.302527899464,-151.745926144322,-152.17225620816,-152.582158336232,-152.976250620172,-153.355128449598,225.744453472105,237.585058444846,223.129431482744,212.58819135828602,203.914089578246,196.415484539407,189.758561479473,183.755093420328,178.287267445473,173.275711110942,168.663809810648,164.409185598416,160.47872237241,156.845506374713,153.48687113796498,150.383113189033,147.516632509857,144.871351147659,142.432318818004,140.185446700557,138.117330258322,136.215134240405,134.466521022444,132.859608786009,131.382949730495,130.02552114556698,128.776724113793,127.62638608530001,126.564764705746,125.582551168815,124.670872055716,123.82128914977801,123.025797097705,122.27681905025601,121.567200572914,120.89020219063299,120.239490939221,119.609131258368,118.993575495117,118.387654207208,117.786566375608,117.18586956405599,116.58147000667299,115.969612565569,115.346870479643,114.71013482161699,114.056603590191,113.383770384117,112.689412631339,111.971579375209,152.8,8.0098,2.1556
-22.0120005776756,-87.471512749911,-95.7028501720487,-100.92442139629101,-104.872852355196,-108.10547049605302,-110.876992843051,-113.325705397969,-115.53508034990601,-117.559269280823,-119.43526502851401,-121.18933127783899,-122.840676607695,-124.40368563517401,-125.88934180058399,-127.30617173437099,-128.660893220257,-129.958872228391,-131.204452748585,-132.401199349771,-133.552078288143,-134.659594348234,-135.725895154899,-136.752851171516,-137.74211726790801,-138.69518016416401,-139.613394966204,-140.49801323815902,-141.35020449831498,-142.17107261043,-142.961668225831,-143.722998184534,-144.456032586989,-145.16171008964199,-145.840941849504,-146.494614439889,-147.12359197780899,-147.728717639975,-148.310814696481,-148.870687156507,-149.409120096366,-149.926879724727,-150.424713230624,-150.903348455059,-151.36349342494,-151.805835787371,-152.231042181959,-152.639757588082,-153.03260468255,-153.410183240616,225.74301755722198,237.507640678356,223.02179077365798,212.458886269316,203.76735619379602,196.25414626478297,189.58468560197602,183.57029798768002,178.092880162701,173.07285926970297,168.453475558892,164.192241926006,160.25595746910102,156.617640550059,153.254568750137,150.146991082332,147.277265918477,144.629277700609,142.188041082123,139.939433574265,137.87001744976,135.966924013284,134.217781361258,132.610672112847,131.134111294328,129.777037198581,128.528809985907,127.37921426577,126.318463038357,125.337201263558,124.42650801420601,123.577896693459,122.78331317678101,122.035131997311,121.326150848542,120.649583749614,119.999053225631,119.36858181728701,118.752583168413,118.145852862089,117.543559098286,116.941233237636,116.33476018283501,115.720368534113,115.094620438453,114.454401051962,113.796907547966,113.119637626189,112.420377506711,111.69718942267299,153.2,8.0112,2.1564
-22.010486551768498,-87.48305352240351,-95.7196595493326,-100.945290692129,-104.897193328297,-108.13291158798401,-110.907269938839,-113.358617793764,-115.570467595587,-117.59699780725401,-119.47521982026501,-121.231410337488,-122.88478707776899,-124.44974096465401,-125.937259602309,-127.35587211925,-128.712297474124,-130.011901745437,-131.25902816531098,-132.457239842756,-133.609501011691,-134.71831399646499,-135.785823638526,-136.813897403184,-137.80418705213899,-138.758176188961,-139.677216893484,-140.562557889544,-141.415366131642,-142.23674328071502,-143.02773822255,-143.789356535074,-144.522567614189,-145.22831000958598,-145.90749539432,-146.561011489412,-147.18972418361,-147.794479025538,-148.376102218283,-148.93540121227102,-149.473164968908,-149.990163952318,-150.48714989764,-150.964855399664,-151.42399336350098,-151.865256358095,-152.28931591276398,-152.696821795818,-153.088401312353,-153.464658655378,225.74158221396,237.43019408491,222.914097955214,212.329510732848,203.62053469319,196.09270291885,189.41068842559898,183.38536575816502,177.898341350513,172.869841981681,168.242962808997,163.975107615275,160.03299073268698,156.38956266111998,153.022045027534,149.910639301837,147.037662185025,144.386960416566,141.943513448717,139.693164939264,137.622443735773,135.718447410978,133.96876944047898,132.361456485531,130.884985952017,129.528256641338,128.280587256191,127.131718998679,126.071819637253,125.091487306299,124.18175298928101,123.334081156628,122.54036840712901,121.7929402169,121.084546052432,120.40835317338998,119.757939456621,119.127285534228,118.51076647351299,117.90314315026801,117.29955339180201,116.69550290107901,116.086855924159,115.469825592285,114.840963857339,114.197150943086,113.535584251236,112.85376668689399,112.149494398407,111.42084395809201,153.6,8.0126,2.1572
